country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","22-01-2026 19:00:00",21.371751,81.664929,NO2,51,65,57
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","22-01-2026 19:00:00",21.371751,81.664929,NH3,2,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","22-01-2026 19:00:00",22.06631475,83.33820077,PM2.5,31,126,78
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","22-01-2026 19:00:00",22.06631475,83.33820077,NO2,41,95,67
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","22-01-2026 19:00:00",22.06631475,83.33820077,CO,12,49,20
India,Delhi,Delhi,"Alipur, Delhi - DPCC","22-01-2026 19:00:00",28.815329,77.153010,PM2.5,160,413,344
India,Delhi,Delhi,"Alipur, Delhi - DPCC","22-01-2026 19:00:00",28.815329,77.153010,CO,52,101,58
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","22-01-2026 19:00:00",28.695381,77.181665,PM10,237,447,345
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","22-01-2026 19:00:00",28.732820,77.170633,NO2,85,155,116
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","22-01-2026 19:00:00",28.732820,77.170633,NH3,17,33,23
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","22-01-2026 19:00:00",28.732820,77.170633,SO2,10,37,25
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","22-01-2026 19:00:00",28.580280,77.233829,PM10,145,428,285
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","22-01-2026 19:00:00",28.580280,77.233829,CO,57,134,70
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","22-01-2026 19:00:00",28.5918245,77.2273074,PM10,NA,NA,NA
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","22-01-2026 19:00:00",28.611281,77.237738,PM2.5,140,376,288
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","22-01-2026 19:00:00",28.636429,77.201067,NH3,6,11,8
India,Delhi,Delhi,"Mundka, Delhi - DPCC","22-01-2026 19:00:00",28.684678,77.076574,NO2,63,106,83
India,Bihar,Patna,"Samanpura, Patna - BSPCB","22-01-2026 19:00:00",25.596727,85.085624,CO,6,107,53
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","22-01-2026 19:00:00",25.03280,85.41948,PM2.5,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","22-01-2026 19:00:00",25.03280,85.41948,NO2,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","22-01-2026 19:00:00",25.892357,86.590325,SO2,16,19,18
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","22-01-2026 19:00:00",25.892357,86.590325,OZONE,9,11,10
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","22-01-2026 19:00:00",25.859655,85.77944,PM2.5,38,137,76
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","22-01-2026 19:00:00",25.859655,85.77944,CO,8,9,8
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","22-01-2026 19:00:00",25.859655,85.77944,OZONE,7,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","22-01-2026 19:00:00",24.952822,84.002396,NH3,1,3,3
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","22-01-2026 19:00:00",21.185571,81.343175,PM2.5,NA,NA,NA
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","22-01-2026 19:00:00",21.224231,81.408350,OZONE,3,16,14
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","22-01-2026 19:00:00",22.08815,82.13737,PM10,40,119,77
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","22-01-2026 19:00:00",22.118125,83.140608,PM2.5,38,90,62
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","22-01-2026 19:00:00",22.118125,83.140608,PM10,39,201,89
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","22-01-2026 19:00:00",22.348441,82.549611,PM2.5,22,149,74
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","22-01-2026 19:00:00",26.2271665,84.3570427,NO2,1,4,2
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","22-01-2026 19:00:00",30.735567,76.775714,OZONE,4,126,81
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","22-01-2026 19:00:00",30.719859,76.738637,NO2,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","22-01-2026 19:00:00",21.194815,81.314770,NO2,29,70,44
India,Delhi,Delhi,"Mundka, Delhi - DPCC","22-01-2026 19:00:00",28.684678,77.076574,CO,54,102,59
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","22-01-2026 19:00:00",28.60909,77.0325413,SO2,10,22,15
India,Delhi,Delhi,"Narela, Delhi - DPCC","22-01-2026 19:00:00",28.822836,77.101981,PM2.5,316,407,356
India,Delhi,Delhi,"Narela, Delhi - DPCC","22-01-2026 19:00:00",28.822836,77.101981,SO2,5,21,11
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","22-01-2026 19:00:00",28.6573814,77.1585447,CO,52,142,65
